Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;20;85;6;ns;ns;ns;ns;ns;ns;11;8.6;1800;ns;ns;;1430;2120;Strasbourg_30;disc05_30;4k25D
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;13;68;5;ns;ns;ns;ns;ns;ns;11;8.6;1800;ns;ns;;1430;2120;Strasbourg_30;disc07_30;4k25D
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;1;67;0;ns;ns;ns;ns;ns;ns;11;8.6;1800;ns;ns;;1430;2120;Strasbourg_30;disc11_30;4k25D
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;229;81;67;94;75;68;99;1630;25400;11;8.6;1800;12;26;32.00;1430;2120;Strasbourg_18;disc12_18;4k25D
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;40;94;12;93;87;45;100;1600;25000;11;8.6;1800;13;41;70.00;1430;2120;Strasbourg_18;disc14_18;4k25D
2015;LICENCE PRO;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;67;90;20;89;67;75;98;1590;24700;11;8.6;1800;17;21;25.00;1430;2120;Strasbourg_18;disc16_18;4k25D
2015;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;36;78;15;97;31;69;97;ns;ns;17;8.6;1800;8;14;72.00;1430;2120;Mulhouse - Haute Alsace_18;disc04_18;OJZ4a
2015;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;10;96;3;ns;ns;ns;ns;ns;ns;17;8.6;1800;ns;ns;;1430;2120;Mulhouse - Haute Alsace_30;disc05_30;OJZ4a
2015;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;10;74;4;ns;ns;ns;ns;ns;ns;17;8.6;1800;ns;ns;;1430;2120;Mulhouse - Haute Alsace_18;disc11_18;OJZ4a
2015;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;79;83;32;88;82;67;95;1650;25700;17;8.6;1800;6;27;21.00;1430;2120;Mulhouse - Haute Alsace_18;disc15_18;OJZ4a
2015;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;79;83;32;90;86;82;99;1700;26500;17;8.6;1800;7;27;21.00;1430;2120;Mulhouse - Haute Alsace_30;disc15_30;OJZ4a
2015;LICENCE PRO;0681166Y;Mulhouse - Haute Alsace;A15;Strasbourg;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;32;76;13;97;87;81;ns;ns;ns;17;8.6;1800;19;26;9.00;1430;2120;Mulhouse - Haute Alsace_30;disc16_30;OJZ4a
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;81;81;15;94;81;85;98;1600;25000;5;7.6;1825;19;20;28.00;1460;2180;Lyon 1 - Claude Bernard_18;disc01_18;etBz7
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;68;82;13;99;76;96;99;1720;26800;5;7.6;1825;20;16;26.00;1460;2180;Lyon 1 - Claude Bernard_30;disc04_30;etBz7
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;9;100;2;ns;ns;ns;ns;ns;ns;5;7.6;1825;ns;ns;;1460;2180;Lyon 1 - Claude Bernard_18;disc11_18;etBz7
2015;LICENCE PRO;0691774D;Lyon 1 - Claude Bernard;A10;Lyon;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;42;75;9;93;91;45;89;ns;ns;5;7.6;1825;11;43;85.00;1460;2180;Lyon 1 - Claude Bernard_18;disc13_18;etBz7
