Année;Diplôme;situation;Genre;Disciplines;Code du domaine;Domaine;Code de la discipline;Discipline;Sigle;Spécialité;Nombre de réponses;Part des emplois de niveau cadre ou profession intermédiaire;Part des emplois de niveau cadre;Part des emplois stables;Part des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;Salaire brut annuel estimé;Premier quartile des salaires nets mensuels des emplois à temps plein;Dernier quartile des salaires nets mensuels des emplois à temps plein;Part des diplômés boursiers dans la discipline;Part des femmes;Taux de chômage national;Salaire net mensuel médian national;Code du secteur disciplinaire SISE;Salaire net mensuel national 1er quartile;Salaire net mensuel national 3ème quartile;cle_DISC;Prof. libérale, indépendant, chef d’entreprise;Fonctionnaire;statut_cdi;statut_conspe;CDD;Vacataire;Intérimaire;Intermittent du spectacle;Contrat de professionnalisa tion;Emplois aidés (Contrat Initiative Emploi…);Volontariat international;Vous-même;La fonction publique (d'etat, territoriale ou hospitalière);Une entreprise privée;Une entreprise publique;Une association;Une personne exerçant une profession libérale ou un indépendant;Un particulier;Agriculture, sylviculture et pêche;Industries (manufacturières,  extractives et autres);Construction;Commerce, transports, héberg-ement et restauration;Information et communication;Activités financières et d’assurance;Activités spécialisées, scientifiques et techniques;Activités de services administratifs et de soutien;Enseignement;Administra tion publique (hors ens.);Santé humaine et action sociale;Arts, spectacles et activités récréatives;Autres activités de service;Personnel de catégorie A de la fonction publique;Ingénieur, cadre, prof. libérales, prof. intellectuelles sup;Personnel de catégorie B de la fonction publique;Emploi de niveau intermédiaire : technicien, agent de maîtrise…;Personnel de catégorie C de la fonction publique;Manœuvre, ouvrier;Employé de bureau, de commerce, personnel de service;Taux d’insertion;% emplois extérieurs à la région de l’université
2014;DUT;18 mois après le diplôme;hommes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;60;46;7;68;98;1520;23700;ns;ns;34;;9.3;1870;;1480;2280;GEA_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;19
2014;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;114;29;5;59;90;1280;20000;1150;1500;36;;9.3;1870;;1480;2280;GEA_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;13
2013;DUT;18 mois après le diplôme;femmes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;152;24;3;60;90;1310;20400;1200;1480;43;;9.9;1870;;1490;2280;GEA_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;17
2014;DUT;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Gestion>Gestion des entreprises et administrations;DEG;Droit, économie et gestion;disc04;Gestion;GEA;Gestion des entreprises et administrations;174;34;5;62;92;1330;20700;1200;1580;36;68;9.3;1870;;1480;2280;GEA_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;15
2015;DUT;30 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie électrique et informatique industrielle;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GEII;Génie électrique et informatique industrielle;136;90;3;76;97;1650;25700;1500;1850;33;1;8.6;1865;;1475;2280;GEII_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;18
2015;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie électrique et informatique industrielle;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GEII;Génie électrique et informatique industrielle;2;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;GEII_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2015;DUT;30 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GIM;Génie industriel et maintenance;3;ns;ns;ns;ns;ns;ns;ns;ns;ns;;8.6;1865;;1475;2280;GIM_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ns;ns
2014;DUT;30 mois après le diplôme;hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GIM;Génie industriel et maintenance;41;78;;70;98;1700;26500;ns;ns;26;;9.3;1870;;1480;2280;GIM_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;36
2013;DUT;18 mois après le diplôme;femmes et hommes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GIM;Génie industriel et maintenance;36;76;6;46;100;ns;ns;ns;ns;44;;9.9;1870;;1490;2280;GIM_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;27
2013;DUT;18 mois après le diplôme;femmes;Sciences, technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;GIM;Génie industriel et maintenance;0;nd;nd;nd;nd;nd;nd;nd;nd;nd;;9.9;1870;;1490;2280;GIM_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nd;nd
